CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L14200RJ2015PLC048974,SHIVA GRANITO EXPORT LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-12-15,Rajasthan,140000000,132150500,14200,Other mining and quarrying,"8, BHATT JI KI BAARI UDAIPUR , Udaipur Unclassified RJ 313001",RoC-Jaipur,shivaexport@gmail.com,31-03-20,31-03-20
L14219RJ1988PLC062162,NEELKANTH ROCK-MINERALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-05-88,Rajasthan,55000000,50437000,14219,Other mining and quarrying,"18 K. M. STONE,JODHPUR BARMER ROAD VILLAGE-NARNADI JODHPUR , Jodhpur Unclassified RJ 342001",RoC-Jaipur,info@neelrock.com,31-03-20,31-03-20
L15142RJ1987PLC004210,KEDIA CONTINENTAL LTD,Active,Public,Company limited by Shares,Non-govt company,16-12-87,Rajasthan,75000000,6381400,15142,Manufacture of food products and beverages,"C-150/A, RIICO Indl. Area, Bhilwara , Unclassified RJ 311001",RoC-Jaipur,nlsharma21@rediffmal.com,NA,NA
L15142RJ1987PLC004232,VIJAY SOLVEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-12-87,Rajasthan,50000000,32018630,15142,Manufacture of food products and beverages,"BHAGWATI SADAN, SWAMI DAYANANDMARG, STATION ROAD, ALWAR , Unclassified RJ 301001",RoC-Jaipur,cs_lodha@dataoils.com,31-03-20,31-03-20
L15142RJ1991PLC006353,SARDA PROTEINS LTD,Active,Public,Company limited by Shares,Non-govt company,03-12-91,Rajasthan,50000000,17259000,15142,Manufacture of food products and beverages,"B-536-537, Matsya Industrial Area, Alwar , Alwar Unclassified RJ 301030",RoC-Jaipur,sardaproteins@yahoo.com,31-03-20,31-03-20
L15209RJ2006PLC022941,JHANDEWALAS FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-08-06,Rajasthan,120000000,102603580,15209,Manufacture of food products and beverages,"B-70, 1st Floor, Upasana House, Janta Store, Bapu Nagar Jaipur , Jaipur Unclassified RJ 302015",RoC-Jaipur,acc.jfpl@gmail.com,31-03-19,31-03-19
L15494RJ1992PLC016617,AJANTA SOYA LIMITED (TRANSFER FROM DELHI TO RAJASTHAN),Active,Public,Company limited by Shares,Non-govt company,13-01-92,Rajasthan,161000000,160966000,15494,Manufacture of food products and beverages,"SP-916, PHASE -III, INDUSTRIAL AREA BHIWADI , Unclassified RJ 301019",RoC-Jaipur,cs@ajantasoya.com,31-03-20,31-03-20
L15499RJ1937PLC001636,BHARATPUR NUTRITIONAL PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-04-37,Rajasthan,35600000,30002455,15499,Manufacture of food products and beverages,"GHANA SEWAR, BY PASS ROAD, BHARATPUR. , Bharatpur Unclassified RJ 321001",RoC-Jaipur,BHARATPURNUTRITIONAL@YAHOO.IN,31-03-20,31-03-20
L15499RJ1994PLC008016,SPECTRUM FOODS LIMITED,Active,Public,Company limited by Shares,Non-govt company,07-02-94,Rajasthan,70000000,48483860,15499,Manufacture of food products and beverages,"L-5M B-II, KRISHNA MARG C-SCHEME JAIPUR , Unclassified RJ 302001",RoC-Jaipur,account@suryasalt.com,31-03-20,31-03-20
L15511RJ1992PLC014556,WINSOME BREWERIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,18-06-92,Rajasthan,277500000,276689000,15511,Manufacture of food products and beverages,"VILL. SAREHKHURD, TEHSIL-TIJARA, ALWAR , Alwar Unclassified RJ 301001",RoC-Jaipur,rkb521@gmail.com,31-03-20,31-03-20
L15511RJ1993PLC007356,ROCHEES BREWERIES LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,16-04-93,Rajasthan,200000000,179355750,15511,Manufacture of food products and beverages,"B-5, ROCHEES MARG,KANWAR NAGAR, JAIPUR 302 002 ... , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L15531RJ1993PLC007168,MOUNT SHIVALIK INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-01-93,Rajasthan,100000000,60467000,15531,Manufacture of food products and beverages,"140TH MILE STONE, N.H.-8, VILL-GUNTI, TEH-BEHROR, ALWAR , Unclassified RJ 000000",RoC-Jaipur,shares@mountshivalik.in,31-03-19,31-03-19
L17111RJ1960PLC001171,ADITYA MILLS LTD,Active,Public,Company limited by Shares,Non-govt company,07-07-60,Rajasthan,28000000,15223179,17111,Manufacture of textiles,"AJMER ROAD, MADANGANJ, KISHANGARH AJMER , Ajmer Unclassified RJ 305801",RoC-Jaipur,aml_ksg@rediffmail.com,31-03-20,31-03-20
L17111RJ1992PLC006987,NITIN SPINNERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-10-92,Rajasthan,600000000,562200000,17111,Manufacture of textiles,"16-17 K.M.STONE, CHITTOR ROAD, HAMIRGARH, BHILWARA , Unclassified RJ 311001",RoC-Jaipur,sudhirgarg@nitinspinners.com,31-03-20,31-03-20
L17114RJ1984PLC003023,NUTECH GLOBAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-06-84,Rajasthan,40000000,32037000,17114,Manufacture of textiles,"E-149, RIICO Industrial Area, BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,info@nutechglobal.com,31-03-20,31-03-20
L17114RJ1984PLC003085,SPBL LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,17-08-84,Rajasthan,175000000,167775000,17114,Manufacture of textiles,"OPP.HIGHER SECONDARY SCHOOL, PUR ROAD, BHILWARA , Unclassified RJ 000000",RoC-Jaipur,secreterial@sangamgroup.com,31-03-06,31-03-06
L17114RJ1987PLC004067,RISHAB SPECIAL YARNS LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-08-87,Rajasthan,60000000,35607000,17114,Manufacture of textiles,"2070, RASTA BARA GANGORE, JAIPUR , Jaipur Unclassified RJ 302003",RoC-Jaipur,rsyltd@gmail.com,31-03-20,31-03-20
L17115RJ1960PLC008216,RSWM LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-10-60,Rajasthan,1350000000,235508420,17115,Manufacture of textiles,"KHARIGRAM P.O. GULABPURA BHILWARA , Unclassified RJ 311021",RoC-Jaipur,SKG@LNJBHILWARA.COM,31-03-20,31-03-20
L17115RJ1980PLC002075,MODERN THREADS (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-08-80,Rajasthan,2050000000,380251600,17115,Manufacture of textiles,"Unit : Modern Woollens Hamirgarh Road, Near Transport Nagar, Pragati Path Bhilwara , Bhilwara Unclassified RJ 311001",RoC-Jaipur,cs@modernwoollens.com,31-03-20,31-03-20
L17115RJ1980PLC008217,BHILWARA SPINNERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,07-06-80,Rajasthan,125000000,67611300,17115,Manufacture of textiles,"26 INDUSTRIAL AREA BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,b.s.choudhary63@gmail.com,31-03-20,31-03-20
L17117RJ1989PLC004984,GEE EL WOOLLENS LIMITED,Not Available for eFiling,Public,Company limited by Shares,Non-govt company,31-05-89,Rajasthan,50000000,42602000,17117,Manufacture of textiles,"25-26, RANI BAZAR,INDUSTRIAL AREA, BIKANER. 334002 C , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L17117RJ1994PLC008916,A.K.SPINTEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-10-94,Rajasthan,125000000,50317500,17117,Manufacture of textiles,"14 KM STONE,CHITTORGARH ROAD, BILIA KALAN, Bhilwara , Unclassified RJ 311001",RoC-Jaipur,akspintex@gmail.com,31-03-20,31-03-20
L17117RJ1994PLC008964,SHREE RAJASTHAN TEXCHEM LTD.,Amalgamated,Public,Company limited by Shares,Non-govt company,26-10-94,Rajasthan,170000000,160000070,17117,Manufacture of textiles,"SRSL HOUSE,PULLA, BHUWANA ROAD, NATIONAL HIGHWAY NO.8, UDAIPUR 313 004 ... , Unclassified RJ 000000",RoC-Jaipur,srsl@del3.vsnl.net.in,31-03-06,31-03-06
L17118RJ1983PLC002658,RAJASTHAN PETRO SYNTHETICS LTD,Active,Public,Company limited by Shares,Non-govt company,21-02-83,Rajasthan,200000000,161892700,17118,Manufacture of textiles,"FLAT NO. 201, 8B OASIS TOWER NEAR NAVARANTAN COMPLEX,BHUWANA UDAIPUR , Udaipur Unclassified RJ 313001",RoC-Jaipur,investors@rpsl.co.in,31-03-20,31-03-20
L17118RJ1984PLC003173,SANGAM (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-12-84,Rajasthan,825000000,434215590,17118,Manufacture of textiles,"ATUN CHITTORGARH ROAD BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,secretarial@sangamgroup.com,31-03-20,31-03-20
L17118RJ1985PLC009008,RAJASTHAN POLYESTERS LIMITED (TRANSFERFROM DELHI TO RAJASTHAN),Under liquidation,Public,Company limited by Shares,Non-govt company,31-01-85,Rajasthan,180000000,104674000,17118,Manufacture of textiles,"A-145B, RIICO IND. AREA, BHIWADI ALWAR , Alwar Unclassified RJ 301019",RoC-Jaipur,ca.pkjain@yahoo.com,31-03-12,31-03-12
L17119RJ2010PLC032089,LAGNAM SPINTEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-06-10,Rajasthan,225000000,176690000,17119,Manufacture of textiles,"A-51-53, RIICO Growth Centre Hamirgarh Bhilwara , Bhilwara Unclassified RJ 311001",RoC-Jaipur,anand@lagnam.com,31-03-20,31-03-20
L17124RJ1976PLC001869,MODERN TERRY TOWELS LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,13-08-76,Rajasthan,650000000,381006000,17124,Manufacture of textiles,"A-4, VIJAY PATH, TILAK NAGAR, JAIPUR , Unclassified RJ 302004",RoC-Jaipur,gauravgoyal@moderninsulators.com,31-03-16,31-03-16
L17124RJ1977PLC001758,MODERN DENIM LIMITED,Active,Public,Company limited by Shares,Non-govt company,15-11-77,Rajasthan,600000000,440020000,17124,Manufacture of textiles,"Modern Denim Limited, Talheti, Village karoli, Tehsil Abu Road, ABU Road , Sirohi Unclassified RJ 307510",RoC-Jaipur,denim.modern@gmail.com,31-03-20,31-03-20
L17124RJ1980PLC002005,BANSWARA FABRICS LTD,Amalgamated,Public,Company limited by Shares,Non-govt company,06-03-80,Rajasthan,8500000,7821350,17124,Manufacture of textiles,"INDUSTRIAL AREA, DOHAD ROAD,BANWARA 327001 RAJASTHAN. C , Banswara Unclassified RJ 000000",RoC-Jaipur,hpkharwal@banswarasyntex.com,31-03-15,31-03-15
L17124RJ1981PLC002176,SUPER SYNCOTEX (INDIA) LTD,Active,Public,Company limited by Shares,Non-govt company,20-02-81,Rajasthan,120000000,57731890,17124,Manufacture of textiles,"SADAR BAZAR, GULABPURA , Unclassified RJ 311021",RoC-Jaipur,vs.sancheti@rediffmail.com,31-03-20,31-03-20
L17124RJ1986PLC003629,KHATOR FIBRE AND FABRICS LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-05-86,Rajasthan,50000000,42500000,17124,Manufacture of textiles,"G-67, MODI NAGAR, AJMER ROAD, JAIPUR , Unclassified RJ 302019",RoC-Jaipur,accounts@khator.com,31-03-18,31-03-18
L17124RJ1991PLC008831,VANASTHALI TEXTILE INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,04-03-91,Rajasthan,252500000,198125000,17124,Manufacture of textiles,"F-3-5,RIICO INDUSTRIAL COMPLEX, VIGVAN NAGAR, SHAHJAHANPUR, ALWAR , Unclassified RJ 301706",RoC-Jaipur,amit.kumar@vtiltowels.com,31-03-12,31-03-15
L17124RJ1993PLC007136,R S C INTERNATIONAL LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-01-93,Rajasthan,70000000,57497000,17124,Manufacture of textiles,"Plot No. 30, Sangam Colony, Opposite VKI Road No. 14, Sikar Road Jaipur , Jaipur Unclassified RJ 302013",RoC-Jaipur,ashwinithorat588@gmail.com,31-03-20,31-03-20
L17124RJ1994PLC008096,PILANIWALA TEXTILE MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,02-03-94,Rajasthan,55000000,25278500,17124,Manufacture of textiles,"2322, PILANI HAWAN, JAIPUR , Jaipur Unclassified RJ 302001",RoC-Jaipur,morensure@hotmail.com,31-03-18,31-03-18
L17124RJ1996PLC011522,BELLA CASA FASHION & RETAIL LIMITED,Active,Public,Company limited by Shares,Non-govt company,05-02-96,Rajasthan,117500000,114750000,17124,Manufacture of textiles,"E-102, 103 EPIP, SITAPURA INDUSTRIAL AREA JAIPUR , Unclassified RJ 302022",RoC-Jaipur,cs@bellacasa.in,31-03-20,31-03-20
L17124RJ1997PLC013498,JAGJANANI TEXTILES LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-04-97,Rajasthan,180000000,156000000,17124,Manufacture of textiles,"SCOs 33 and 34, RIICO Shopping Complex, Bagru Ext. I jaipur , Jaipur Unclassified RJ 303007",RoC-Jaipur,jtlsgv@gmail.com,31-03-20,31-03-20
L17124RJ2005PLC020927,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-06-05,Rajasthan,500000000,163828620,17124,Manufacture of textiles,"PACHPAHAR ROAD, BHAWANIMANDI JHALAWAR , Unclassified RJ 326502",RoC-Jaipur,hoffice@sutlejtextiles.com,31-03-20,31-03-20
L17296RJ1992PLC006791,TERRYFAB (INDIA) LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-06-92,Rajasthan,150000000,111000000,17296,Manufacture of textiles,"ARUN OIL MIL KE PEECHE, GLASS FACTORY COMPOUND, TONK ROAD, JAIPUR , Jaipur Unclassified RJ 302018",RoC-Jaipur,terryfaindia@yahoo.com,31-03-18,31-03-18
L17301RJ1934PLC002761,SIL INVESTMENTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-11-34,Rajasthan,120000000,105958600,17301,Manufacture of textiles,"PACHPAHAR ROAD, BHAWANIMANDI JHALAWAR , Unclassified RJ 326502",RoC-Jaipur,lokeshgandhi@silinvestments.in,31-03-20,31-03-19
L18101RJ1983PLC002839,INTERLINK EXPORTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-11-83,Rajasthan,40000000,29614800,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"B-21,6 (C), AMBAJIINDUSTRIAL AREA RIICO ABU ROAD RAJASTHAN , Sirohi Unclassified RJ 000000",RoC-Jaipur,roc_agj@yahoo.com,31-03-19,31-03-19
L18101RJ1991PLC014466,BMB MUSIC AND MAGNETICS LIMITED,Active,Public,Company limited by Shares,Non-govt company,26-07-91,Rajasthan,65000000,60597000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"G-20 IInd FLOOR, NANDPURI EXTENSION, SWEJ FARM NEW SANGANER ROAD, SODALA JAIPUR , Jaipur Unclassified RJ 302019",RoC-Jaipur,kcbokdia.kcb@gmail.com,31-03-20,31-03-20
L18101RJ1992PLC006952,MAYUR UNIQUOTERS LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-09-92,Rajasthan,860000000,222888000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"JAIPUR-SIKAR ROAD,VILLAGE:JAITPURA TEHSIL:CHOMU,DISTT.JAIPUR JAIPUR , Unclassified RJ 303704",RoC-Jaipur,secr@mayur.biz,31-03-20,31-03-20
L18101RJ1994PLC008386,HIGH STREET FILATEX LIMITED,Active,Public,Company limited by Shares,Non-govt company,24-05-94,Rajasthan,75000000,34270000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"B-17, IInd Floor 22 Godam Industrial Area Jaipur , Jaipur Unclassified RJ 302006",RoC-Jaipur,highstreet.filatex@gmail.com,31-03-20,31-03-20
L18101RJ1995PLC072122,VANDANA KNITWEAR LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-03-95,Rajasthan,120000000,106985070,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"H 585, NEELKANTH COLONY SHASTRI NAGAR BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,trendyknitwear@gmail.com,31-03-20,31-03-20
L18101RJ2007PLC025502,BHILWARA TECHNICAL TEXTILES LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-12-07,Rajasthan,70000000,58373305,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"LNJ NAGAR MORDI BANSWARA , Unclassified RJ 327001",RoC-Jaipur,corp.sec@lnjbhilwara.com,31-03-20,31-03-20
L18101RJ2009PLC028647,MANOMAY TEX INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-04-09,Rajasthan,150000000,146833500,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"32, HEERA PANNA MERKET, PUR ROAD BHILWARA , Unclassified RJ 311001",RoC-Jaipur,ykladdha@hotmail.com,31-03-20,31-03-20
L18101RJ2012PLC037976,NANDANI CREATION LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-02-12,Rajasthan,110000000,100339500,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"G-13, KARTARPURA INDUSTRIAL AREA, NEAR 22 GODAM JAIPUR , Jaipur Unclassified RJ 302006",RoC-Jaipur,info@jaipurkurti.com,31-03-20,31-03-20
L19129RJ1987PLC003889,MAYUR LEATHER PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-03-87,Rajasthan,58000000,49759786,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","B-5, VRINDAVAN APARTMENTS VRINDAVAN VIHAR, KING\x92S ROAD JAIPUR , Jaipur Unclassified RJ 302019",RoC-Jaipur,mlp@mayurleather.com,31-03-20,31-03-20
L19201RJ1992PLC006426,VINAYAK INDUSTRIES LTD.,Active,Public,Company limited by Shares,Non-govt company,03-01-92,Rajasthan,32500000,30325700,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","G-282/283, RIICO INDUSTRIALAREA, BHIWADI ALWAR. , Unclassified RJ 000000",RoC-Jaipur,NA,NA,NA
L19201RJ1994PLC008196,LEHAR FOOTWEARS LIMITED,Active,Public,Company limited by Shares,Non-govt company,31-03-94,Rajasthan,150000000,136787990,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","A-243 (A) ROAD NO.6 , V.K.I. AREA JAIPUR , Unclassified RJ 302013",RoC-Jaipur,csco@leharfootwear.com,31-03-20,31-03-20
L21015RJ1973PLC015819,APM INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-09-73,Rajasthan,75000000,43222720,21015,Manufacture of paper and paper products,"SP-147, RIICO INDUSTRIAL AREA, BHIWADI , Unclassified RJ 301019",RoC-Jaipur,csapmindustriesltd@gmail.COM,31-03-20,31-03-20
L23201RJ1986PLC003704,CONTINENTAL PETROLEUMS LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-07-86,Rajasthan,30000000,27803120,23201,"Manufacture of coke, refined petroleum products and nuclear fuel","A-2, OPP. UDOYG BHAWAN, TILAK MARG, C-SCHEME, JAIPUR , Unclassified RJ 302005",RoC-Jaipur,cs.conpetco@gmail.com,31-03-20,31-03-20
L24114RJ2005PLC021340,SHANKAR LAL RAMPAL DYE-CHEM LIMITED,Active,Public,Company limited by Shares,Non-govt company,19-09-05,Rajasthan,110000000,106611300,24114,Manufacture of chemicals and chemical products,"S.G. 2730 SUWANA, BHILWARA , Unclassified RJ 311001",RoC-Jaipur,info@srdyechem.com,31-03-20,31-03-20
L24117RJ1979PLC002099,LORDS CHLORO ALKALI LIMITED,Active,Public,Company limited by Shares,Non-govt company,01-03-79,Rajasthan,750000000,251539000,24117,Manufacture of chemicals and chemical products,"SP-460, MATSYA INDUSTRIAL AREA ALWAR , Unclassified RJ 301030",RoC-Jaipur,secretarial@lordschloro.com,31-03-20,31-03-20
L24117RJ1980PLC001999,K G PETRO CHEM LTD,Active,Public,Company limited by Shares,Non-govt company,29-02-80,Rajasthan,70000000,52210000,24117,Manufacture of chemicals and chemical products,"C-171,ROAD NO.9J, V.K.I.AREA, JAIPUR , Unclassified RJ 302013",RoC-Jaipur,JPROFFICE21@BHAVIK.BIZ,31-03-20,31-03-20
L24117RJ1981PLC002256,HARSHVARDHAN CHEMICALS AND MINERALSLIMITED,Active,Public,Company limited by Shares,Non-govt company,16-06-81,Rajasthan,100000000,70318625,24117,Manufacture of chemicals and chemical products,"MADHUVAN ESTATE, OPP. HARI PRIYA FILING STATION, AIRPORT ROAD, DABOK UDAIPUR , Udaipur Unclassified RJ 313022",RoC-Jaipur,YOGASSOCIATES@GMAIL.COM,31-03-11,31-03-12
L24117RJ1991PLC006307,PODDAR PIGMENTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-11-91,Rajasthan,125000000,106100000,24117,Manufacture of chemicals and chemical products,"E-10-11, F-14-16 RIICO INDUSTRIAL AREA, SITAPURA, JAIPUR , Unclassified RJ 302022",RoC-Jaipur,JAIPUR@PODDARPIGMENTSLTD.COM,31-03-20,31-03-20
L24117RJ1993PLC007830,SABOO SODIUM CHLORO LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-11-93,Rajasthan,250000000,241825000,24117,Manufacture of chemicals and chemical products,"L5-B II KRISHNA MARG, C-SCHEME JAIPUR , Unclassified RJ 302001",RoC-Jaipur,account@suryasalt.com,31-03-20,31-03-20
L24117RJ1996PLC012912,BOHRA INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,28-11-96,Rajasthan,200000000,152410000,24117,Manufacture of chemicals and chemical products,"301, ANAND PLAZA, UNIVERCITY ROAD, UDAIPUR , Unclassified RJ 313001",RoC-Jaipur,bil@bohraindustries.com,31-03-19,31-03-20
L24119RJ1993PLC007148,UNIQUE ORGANICS LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-01-93,Rajasthan,70000000,59530000,24119,Manufacture of chemicals and chemical products,"E-521, SITAPURA INDUSTRIALAREA, P.O. SITAPURA Jaipur , Unclassified RJ 302022",RoC-Jaipur,compliance@uniqueorganics.com,31-03-20,31-03-20
L24121RJ1997PLC029126,MADHYA BHARAT AGRO PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,22-10-97,Rajasthan,250000000,219067000,24121,Manufacture of chemicals and chemical products,"5-O-21, BASEMENT R.C. VYAS COLONY BHILWARA , Bhilwara Unclassified RJ 311001",RoC-Jaipur,secretarial@mbapl.com,31-03-20,31-03-20
L24124RJ1981PLC002324,HINDUSTAN AGRO CHEMICALS LIMITED,Active,Public,Company limited by Shares,Non-govt company,21-10-81,Rajasthan,140000000,18718000,24124,Manufacture of chemicals and chemical products,"UDAISAGAR CROSSING, NR ZINC SMELTER I, BICHHADI, UDAIPUR , Unclassified RJ 313024",RoC-Jaipur,NA,NA,NA
L24124RJ1985PLC003293,CHAMBAL FERTILISERS AND CHEMICALSLIMITED,Active,Public,Company limited by Shares,Non-govt company,07-05-85,Rajasthan,6500000000,4162078520,24124,Manufacture of chemicals and chemical products,"Gadepan KOTA , Unclassified RJ 325208",RoC-Jaipur,rajveer.singh@chambal.in,31-03-20,31-03-20
